,datetime,open,high,low,close,volume
0,2020-11-20 02:47:00,29257.92,29265.92,29257.92,29265.92,75
1,2020-11-20 02:48:00,29265.92,29274.52,29265.92,29273.92,57
2,2020-11-20 02:49:00,29273.92,29279.92,29273.52,29274.92,108
3,2020-11-20 02:50:00,29274.92,29275.52,29268.52,29270.52,71
4,2020-11-20 02:51:00,29270.52,29272.92,29265.52,29267.92,57
5,2020-11-20 02:52:00,29267.92,29268.92,29264.92,29268.92,39
6,2020-11-20 02:53:00,29268.92,29269.92,29263.92,29266.52,48
7,2020-11-20 02:54:00,29266.52,29270.52,29265.52,29267.92,52
8,2020-11-20 02:55:00,29267.92,29267.92,29263.52,29263.52,47
9,2020-11-20 02:56:00,29263.52,29265.92,29259.92,29263.92,51
10,2020-11-20 02:57:00,29263.92,29269.52,29261.92,29268.92,40
11,2020-11-20 02:58:00,29268.92,29272.52,29267.92,29270.92,78
12,2020-11-20 02:59:00,29270.92,29272.92,29267.92,29271.92,64
13,2020-11-20 03:00:00,29271.92,29276.92,29264.92,29276.92,101
14,2020-11-20 03:01:00,29276.92,29291.52,29272.92,29291.52,162
15,2020-11-20 03:02:00,29291.52,29297.92,29288.92,29289.52,184
16,2020-11-20 03:03:00,29289.52,29290.92,29284.92,29284.92,44
17,2020-11-20 03:04:00,29284.92,29291.92,29284.52,29291.92,55
18,2020-11-20 03:05:00,29291.92,29297.52,29287.92,29295.52,101
19,2020-11-20 03:06:00,29295.52,29298.52,29292.52,29293.52,67
20,2020-11-20 03:07:00,29293.52,29296.92,29293.52,29295.52,51
21,2020-11-20 03:08:00,29295.52,29296.92,29291.52,29291.92,61
22,2020-11-20 03:09:00,29291.92,29293.52,29285.92,29286.92,57
23,2020-11-20 03:10:00,29286.92,29291.52,29282.92,29285.52,77
24,2020-11-20 03:11:00,29285.52,29285.52,29279.92,29280.92,55
25,2020-11-20 03:12:00,29280.92,29288.52,29280.92,29286.92,68
26,2020-11-20 03:13:00,29286.92,29288.92,29280.92,29280.92,58
27,2020-11-20 03:14:00,29280.92,29281.52,29274.92,29279.92,75
28,2020-11-20 03:15:00,29279.92,29282.92,29278.92,29282.52,52
29,2020-11-20 03:16:00,29282.52,29284.92,29281.52,29282.52,44
30,2020-11-20 03:17:00,29282.52,29283.52,29278.92,29278.92,37
31,2020-11-20 03:18:00,29278.92,29280.52,29276.92,29278.92,37
32,2020-11-20 03:19:00,29278.92,29280.52,29274.92,29278.92,44
33,2020-11-20 03:20:00,29278.92,29287.52,29278.92,29284.92,60
34,2020-11-20 03:21:00,29284.92,29286.52,29283.52,29283.52,42
35,2020-11-20 03:22:00,29283.52,29284.52,29273.92,29274.92,85
36,2020-11-20 03:23:00,29274.92,29277.52,29272.92,29274.52,46
37,2020-11-20 03:24:00,29274.52,29276.92,29273.92,29275.52,18
38,2020-11-20 03:25:00,29275.52,29278.52,29274.52,29274.52,54
39,2020-11-20 03:26:00,29274.52,29274.52,29269.92,29272.52,49
40,2020-11-20 03:27:00,29272.52,29277.52,29272.52,29276.92,43
41,2020-11-20 03:28:00,29276.92,29279.52,29273.52,29278.92,35
42,2020-11-20 03:29:00,29278.92,29278.92,29271.92,29274.02,43
43,2020-11-20 03:30:00,29274.02,29281.52,29273.92,29275.92,63
44,2020-11-20 03:31:00,29275.92,29279.92,29275.92,29277.92,43
45,2020-11-20 03:32:00,29277.92,29277.92,29272.92,29274.92,30
46,2020-11-20 03:33:00,29274.92,29277.92,29269.92,29270.52,38
47,2020-11-20 03:34:00,29270.52,29270.92,29267.92,29270.52,53
48,2020-11-20 03:35:00,29270.52,29271.52,29266.52,29269.52,36
49,2020-11-20 03:36:00,29269.52,29270.92,29264.52,29264.92,43
50,2020-11-20 03:37:00,29264.92,29266.52,29261.92,29262.52,50
51,2020-11-20 03:38:00,29262.52,29264.52,29254.92,29257.92,70
52,2020-11-20 03:39:00,29257.92,29259.52,29255.92,29258.92,59
53,2020-11-20 03:40:00,29258.92,29264.92,29258.92,29263.92,50
54,2020-11-20 03:41:00,29263.92,29266.92,29260.92,29261.92,42
55,2020-11-20 03:42:00,29261.92,29263.92,29259.92,29263.52,29
56,2020-11-20 03:43:00,29263.52,29263.52,29254.92,29255.52,46
57,2020-11-20 03:44:00,29255.52,29258.52,29254.92,29256.92,43
58,2020-11-20 03:45:00,29256.92,29261.52,29254.92,29258.92,55
59,2020-11-20 03:46:00,29258.92,29259.92,29249.92,29251.92,50
60,2020-11-20 03:47:00,29251.92,29254.92,29248.92,29250.92,63
61,2020-11-20 03:48:00,29250.92,29256.52,29250.92,29254.92,41
62,2020-11-20 03:49:00,29254.92,29259.92,29254.92,29257.52,43
63,2020-11-20 03:50:00,29257.52,29258.92,29255.92,29257.92,43
64,2020-11-20 03:51:00,29257.92,29258.52,29254.52,29255.52,26
65,2020-11-20 03:52:00,29255.52,29257.92,29255.52,29256.52,28
66,2020-11-20 03:53:00,29256.52,29256.92,29253.92,29254.92,15
67,2020-11-20 03:54:00,29254.92,29254.92,29248.52,29252.92,55
68,2020-11-20 03:55:00,29252.92,29255.52,29250.92,29251.92,32
